top_comp;bottom_comp;num_pieces;cycles;paths;points;index;fm_dimension;fm_volume;fm_nvolume;fm_ehrhart;fm_fvector;sfm_dimension;sfm_volume;sfm_nvolume;sfm_ehrhart;sfm_fvector
1|1|1;1|1|1;3;0;0;3;0;0;1;1;1;(1, 1);0;1;1;1;(1, 1)
1|1|1;1|2;2;0;1;1;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1;2|1;2;0;1;1;1;1;1;1;t + 1;(1, 2, 1);1;1;1;t + 1;(1, 2, 1)
1|1|1;3;2;0;1;1;1;1;1;1;t + 1;(1, 2, 1);1;1;1;t + 1;(1, 2, 1)
1|2;1|2;2;1;0;1;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);0;1;1;1;(1, 1)
1|2;2|1;1;0;1;0;1;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1)
1|2;3;1;0;1;0;1;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);1;1;1;t + 1;(1, 2, 1)
2|1;2|1;2;1;0;1;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1)
2|1;3;1;0;1;0;1;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1)
3;3;2;1;0;1;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1)
